범죄대분류,범죄중분류,서울 종로구,서울 중구,서울 용산구,서울 성동구,서울 광진구,서울 동대문구,서울 중랑구,서울 성북구,서울 강북구,서울 도봉구,서울 노원구,서울 은평구,서울 서대문구,서울 마포구,서울 양천구,서울 강서구,서울 구로구,서울 금천구,서울 영등포구,서울 동작구,서울 관악구,서울 서초구,서울 강남구,서울 송파구,서울 강동구,부산 중구,부산 서구,부산 동구,부산 영도구,부산 부산진구,부산 동래구,부산 남구,부산 북구,부산 강서구,부산 해운대구,부산 사하구,부산 금정구,부산 연제구,부산 수영구,부산 사상구,부산 기장군,대구 중구,대구 동구,대구 서구,대구 남구,대구 북구,대구 수성구,대구 달서구,대구 달성군,대구 군위군,인천 중구,인천 동구,인천 미추홀구,인천 연수구,인천 남동구,인천 부평구,인천 계양구,인천 서구,인천 강화군,인천 옹진군,광주 동구,광주 서구,광주 남구,광주 북구,광주 광산구,대전 동구,대전 중구,대전 서구,대전 유성구,대전 대덕구,울산 중구,울산 남구,울산 동구,울산 북구,울산 울주군,세종특별자치시 세종시,경기도 고양시,경기도 과천시,경기도 광명시,경기도 광주시,경기도 구리시,경기도 군포시,경기도 김포시,경기도 남양주시,경기도 동두천시,경기도 부천시,경기도 성남시,경기도 수원시,경기도 시흥시,경기도 안산시,경기도 안성시,경기도 안양시,경기도 양주시,경기도 여주시,경기도 오산시,경기도 용인시,경기도 의왕시,경기도 의정부시,경기도 이천시,경기도 파주시,경기도 평택시,경기도 포천시,경기도 하남시,경기도 화성시,경기도 연천군,경기도 가평군,경기도 양평군,강원도 강릉시,강원도 동해시,강원도 삼척시,강원도 속초시,강원도 원주시,강원도 춘천시,강원도 태백시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군,충북 제천시,충북 청주시,충북 충주시,충북 보은군,충북 옥천군,충북 영동군,충북 증평군,충북 진천군,충북 괴산군,충북 음성군,충북 단양군,충남 계룡시,충남 공주시,충남 논산시,충남 당진시,충남 보령시,충남 서산시,충남 아산시,충남 천안시,충남 금산군,충남 부여군,충남 서천군,충남 청양군,충남 예산군,충남 태안군,충남 홍성군,전북 군산시,전북 김제시,전북 남원시,전북 익산시,전북 전주시,전북 정읍시,전북 완주군,전북 고창군,전북 부안군,전북 임실군,전북 순창군,전북 진안군,전북 무주군,전북 장수군,전남 광양시,전남 나주시,전남 목포시,전남 순천시,전남 여수시,전남 담양군,전남 곡성군,전남 구례군,전남 고흥군,전남 보성군,전남 화순군,전남 장흥군,전남 강진군,전남 해남군,전남 영암군,전남 무안군,전남 함평군,전남 영광군,전남 장성군,전남 완도군,전남 진도군,전남 신안군,경북 경산시,경북 경주시,경북 구미시,경북 김천시,경북 문경시,경북 상주시,경북 안동시,경북 영주시,경북 영천시,경북 포항시,경북 의성군,경북 청송군,경북 영양군,경북 영덕군,경북 청도군,경북 고령군,경북 성주군,경북 칠곡군,경북 예천군,경북 봉화군,경북 울진군,경북 울릉군,경남 거제시,경남 김해시,경남 밀양시,경남 사천시,경남 양산시,경남 진주시,경남 창원시,경남 통영시,경남 함안군,경남 거창군,경남 창녕군,경남 고성군,경남 하동군,경남 합천군,경남 남해군,경남 함양군,경남 산청군,경남 의령군,제주 서귀포시,제주 제주시
강력범죄,살인기수,2,0,1,1,0,2,4,1,2,2,3,2,0,2,3,0,0,1,6,0,3,1,2,2,1,0,1,1,1,2,1,0,0,2,0,0,2,1,2,3,0,0,2,0,2,2,2,3,0,0,2,0,4,2,7,1,2,4,0,0,1,2,1,4,4,2,2,1,1,0,2,4,0,2,1,0,6,0,1,2,0,1,1,1,0,3,5,7,1,5,2,4,0,0,0,2,2,2,2,3,3,3,1,3,0,0,1,3,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,2,0,5,3,2,0,1,2,0,0,1,1,3,0,0,2,3,1,0,0,0,0,0,1,0,0,0,0,3,2,4,0,0,0,2,0,0,0,0,1,2,1,0,2,0,0,0,0,1,3,1,0,0,1,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,4,3,0,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,4,1
강력범죄,살인미수등,1,3,2,1,2,3,2,0,5,5,4,5,5,1,2,1,12,3,6,3,14,6,12,6,3,2,2,3,4,3,0,1,6,0,3,2,2,1,1,3,3,1,2,1,2,2,2,2,0,0,0,0,3,3,6,3,1,1,2,0,3,0,2,6,1,3,4,1,3,4,2,4,3,0,2,3,7,0,3,1,0,2,3,6,1,3,2,9,3,7,4,2,1,2,3,11,1,1,5,9,3,1,1,12,0,2,2,1,0,1,2,2,3,2,0,2,0,0,1,0,0,0,0,1,0,1,7,3,1,1,0,0,1,0,3,0,0,1,2,2,2,1,6,7,0,0,1,0,2,2,0,2,1,2,1,9,3,1,0,1,0,0,0,0,0,1,1,1,3,1,0,0,0,1,1,1,2,0,0,1,0,1,3,0,0,1,2,0,4,3,3,1,0,1,5,1,6,0,1,0,0,0,2,0,3,0,0,1,0,1,3,1,0,0,5,16,1,0,0,1,2,2,0,0,0,1,0,3,2
강력범죄,강도,5,6,3,2,5,4,2,1,1,4,3,3,0,4,2,6,7,5,9,3,10,9,19,9,5,2,2,4,1,6,0,1,0,0,4,0,0,2,1,3,1,1,3,1,5,3,5,5,1,0,1,2,11,5,13,17,7,3,1,0,2,7,3,6,3,8,1,6,2,3,1,2,2,1,2,0,13,0,1,0,0,2,9,5,0,6,10,16,7,6,2,3,2,1,2,5,0,3,2,3,6,3,1,12,1,0,2,0,0,1,1,3,3,0,0,0,0,0,0,1,0,1,0,0,0,1,13,0,0,1,0,0,0,0,0,0,0,2,1,1,1,7,9,7,0,0,0,0,0,1,0,2,0,0,4,5,0,0,1,1,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,8,2,0,0,1,0,1,5,1,1,0,0,0,0,0,1,0,1,1,0,2,0,2,1,2,4,6,11,1,3,1,0,2,1,1,0,0,1,2,14
강력범죄,강간,25,30,45,22,42,36,40,25,21,10,41,30,46,88,32,77,34,25,51,18,78,55,181,64,34,12,4,10,7,89,24,24,17,8,37,28,13,16,26,13,20,26,33,15,22,36,33,63,7,1,26,1,67,33,57,66,31,44,8,3,18,53,16,44,30,38,37,52,40,18,15,51,15,4,17,27,70,3,16,29,18,14,31,40,14,78,77,118,55,83,15,38,16,5,19,61,3,67,23,53,66,11,17,64,5,9,10,26,6,7,11,36,29,4,1,6,2,7,4,0,2,2,1,3,9,7,83,15,1,3,6,1,7,3,8,4,2,7,8,18,6,17,31,82,5,4,7,2,2,3,7,24,6,4,27,72,11,10,1,7,1,1,0,0,1,11,15,28,37,20,3,0,3,6,1,6,5,3,7,6,7,3,0,3,6,1,1,24,24,45,12,2,4,19,5,8,52,4,2,0,4,4,1,2,6,0,3,4,0,15,53,9,6,25,30,85,22,2,2,4,2,2,1,2,1,0,0,31,81
강력범죄,유사강간,10,4,4,6,9,5,9,7,9,4,2,7,12,12,5,12,7,5,12,2,20,9,38,7,6,3,0,3,2,13,4,6,5,3,9,3,2,4,4,3,2,5,7,3,0,4,2,8,5,0,4,1,15,5,4,12,2,9,0,0,2,10,1,7,11,6,4,17,8,4,0,18,3,4,1,2,14,1,5,3,4,3,5,5,3,19,9,17,7,22,2,13,5,0,4,9,0,7,3,9,10,4,2,5,0,1,1,3,2,4,1,4,3,0,2,1,0,1,1,1,0,0,0,0,1,1,9,4,0,1,2,1,2,1,1,0,1,2,0,1,2,1,6,15,2,0,0,0,0,1,2,7,3,0,4,9,1,4,0,1,0,0,0,1,0,2,5,5,3,7,2,1,0,0,0,2,1,0,1,3,0,1,1,0,1,1,0,4,3,6,2,3,2,0,0,1,14,0,1,0,0,1,0,0,2,0,0,0,0,6,7,1,0,4,4,15,5,0,0,1,0,0,0,0,0,0,1,2,10
강력범죄,강제추행,204,182,195,92,188,107,118,105,108,74,110,112,97,354,74,203,150,93,245,176,220,340,464,233,99,26,25,40,31,241,77,77,71,44,95,70,63,62,73,56,33,182,111,55,38,99,83,134,43,2,56,13,172,82,167,202,80,177,13,6,45,145,44,125,105,58,84,178,91,35,45,140,48,39,53,82,219,13,61,79,46,59,128,137,39,289,237,426,134,221,47,161,57,32,69,206,28,151,50,133,183,41,70,222,7,34,27,68,29,14,16,106,89,6,21,9,10,20,19,9,9,13,6,7,21,41,219,78,4,15,8,9,31,2,36,8,7,28,30,57,31,47,69,237,14,15,16,13,17,21,34,61,21,18,65,210,18,17,9,8,4,3,7,6,6,31,15,85,93,68,7,8,5,6,5,14,6,12,9,21,17,8,13,7,11,9,2,68,76,108,22,11,17,38,14,21,132,7,8,1,6,12,5,8,17,3,4,3,2,85,119,14,27,69,79,221,44,14,16,15,11,4,7,9,7,7,4,70,217
강력범죄,기타 강간 강제추행등,0,0,0,0,0,1,0,2,1,0,1,1,1,1,0,2,0,2,0,0,3,2,2,1,0,0,0,1,0,3,0,1,0,1,3,0,0,0,0,3,0,0,1,1,2,3,1,2,0,0,2,0,0,2,4,2,1,1,0,0,1,1,1,3,2,0,1,0,0,0,1,3,0,0,1,0,1,0,3,0,0,1,0,3,0,3,3,2,1,3,0,0,1,0,1,4,1,4,2,5,2,1,1,4,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,4,0,0,0,0,0,1,1,1,0,0,0,2,6
강력범죄,방화,4,13,16,4,5,11,4,7,4,9,14,10,4,9,5,14,11,6,9,9,13,10,12,11,7,3,2,2,4,9,5,2,3,3,5,2,2,4,2,4,3,6,16,3,2,4,7,11,3,0,6,2,10,7,6,22,11,13,0,0,6,11,6,16,2,7,4,6,5,1,5,7,1,0,4,4,12,1,2,14,7,2,5,23,3,28,21,24,18,32,4,6,8,3,8,19,1,15,4,14,9,1,0,16,1,2,2,3,0,0,0,7,6,3,2,1,0,2,1,1,1,0,1,0,2,4,31,6,1,2,3,0,3,2,2,0,0,2,1,4,5,7,9,16,2,0,1,1,4,3,0,11,2,2,3,17,1,0,2,3,0,4,0,0,0,2,8,10,6,7,0,0,1,3,1,0,1,1,3,2,2,3,2,2,0,1,1,5,8,11,3,0,3,3,6,2,11,3,0,1,0,4,1,2,1,2,1,3,1,4,12,1,1,10,9,24,4,3,2,4,1,0,2,0,1,2,0,8,9
절도범죄,절도범죄,1173,1523,971,891,1619,1278,1400,982,917,997,1629,1612,1190,1479,1411,1790,1627,980,1856,1191,2005,1941,2480,2419,1676,656,714,555,468,2592,1330,684,1011,476,1534,940,880,930,667,951,661,1236,1505,866,656,1638,1138,2064,715,16,677,179,1644,1241,1402,2207,735,1297,173,25,667,1171,708,1747,1714,1161,1059,1954,1254,542,589,1021,478,561,615,1280,2786,271,968,1012,538,944,1845,1607,380,3682,3463,4959,1971,2658,742,1719,524,281,990,2879,237,1477,679,1241,2941,354,943,2838,111,157,274,753,244,189,338,977,696,89,153,95,54,88,229,103,58,62,30,106,104,367,3374,638,65,102,85,56,244,48,354,39,66,276,332,445,274,523,1368,3168,101,145,154,78,224,196,279,850,175,259,1078,2576,520,150,123,107,46,58,46,55,38,467,383,1013,787,717,94,85,67,157,111,205,111,127,172,141,306,128,168,115,180,103,83,1070,1128,1740,351,240,318,428,199,238,2201,121,44,42,166,154,67,113,295,127,45,194,16,870,3472,252,307,1232,2930,3662,699,106,147,136,144,68,73,54,57,37,50,774,2511
폭력범죄,상해,127,127,107,79,111,101,121,74,107,72,81,118,74,154,89,125,121,80,172,100,135,106,262,125,102,98,52,106,63,251,148,115,120,104,139,170,95,127,104,127,109,120,204,148,110,211,159,239,110,6,129,27,211,154,242,270,94,202,46,17,62,165,62,127,159,113,115,230,113,87,92,157,100,68,136,142,221,25,80,99,48,84,130,230,57,271,380,338,176,295,100,206,57,52,102,211,45,144,81,130,263,101,36,243,19,44,37,122,65,58,78,146,132,33,36,33,22,19,34,38,18,13,17,30,17,68,402,55,19,36,18,23,81,20,78,14,12,64,81,79,68,73,171,320,15,23,23,26,54,72,49,155,47,39,92,277,69,43,37,32,10,17,7,9,17,126,61,141,186,173,16,16,12,60,32,35,36,21,66,41,47,20,30,20,43,46,20,134,204,181,73,32,56,69,77,62,316,34,22,8,46,38,18,39,57,37,14,30,13,190,360,85,108,204,198,614,151,43,30,27,42,26,32,26,30,15,22,169,272
